dt,WS,WD,Month,hours,dayofyear,target
2018-01-11 13:00:00,8.351642688115433,69.09036254882807,1,13,11,1381.0943196614537
2018-01-11 14:00:00,10.01286681493122,75.90937169392896,1,14,11,2132.15120442708
2018-01-11 15:00:00,11.276473204294785,66.3556887308756,1,15,11,2719.14534505208
2018-01-11 16:00:00,11.913641611734985,69.94714228312169,1,16,11,3249.4521891276017
2018-01-11 17:00:00,11.573390165964716,72.4302508036295,1,17,11,2922.2262776692683
2018-01-11 18:00:00,10.82661501566565,71.72218195597327,1,18,11,2608.200195312497
2018-01-11 19:00:00,9.389915068944278,71.40549596150711,1,19,11,1922.3337198893184
2018-01-11 20:00:00,4.1645154953002885,84.44493865966791,1,20,11,220.36102994283
2018-01-11 21:00:00,4.34509682655334,77.29054387410477,1,21,11,164.66148249308216
2018-01-11 22:00:00,2.839921156565344,90.96291605631492,1,22,11,14.187741120656291
2018-01-11 23:00:00,3.3219035466512,82.14121373494459,1,23,11,60.572818438212
2018-01-12 00:00:00,4.976622462272641,50.58154614766433,1,0,12,14.202066143353756
2018-01-12 01:00:00,5.046758890151973,62.152841567993136,1,1,12,0.0
2018-01-12 02:00:00,4.481604258219396,66.2875086466471,1,2,12,0.0
2018-01-12 03:00:00,3.4178485075632685,64.74907302856441,1,3,12,0.0
2018-01-12 04:00:00,4.51264095306396,71.2686983744303,1,4,12,0.0
2018-01-12 05:00:00,4.15758562088012,82.9291547139485,1,5,12,0.0
2018-01-12 06:00:00,4.584827462832128,73.61123148600255,1,6,12,0.0
2018-01-12 07:00:00,4.551506837209062,76.2316004435221,1,7,12,0.0
2018-01-12 08:00:00,4.345621148745213,74.83510971069332,1,8,12,0.0
2018-01-12 09:00:00,4.04872846603393,82.8381195068359,1,9,12,0.0
2018-01-12 10:00:00,3.300396362940465,89.39861297607418,1,10,12,2.365421454111733
2018-01-12 11:00:00,2.64093148708343,115.82939910888616,1,11,12,0.0
2018-01-12 12:00:00,2.8288458188374785,114.36433410644467,1,12,12,0.0
2018-01-12 13:00:00,2.546849966049192,102.96694056192996,1,13,12,0.0
2018-01-12 14:00:00,2.44492799043655,123.6232337951655,1,14,12,0.0
2018-01-12 15:00:00,1.985337197780605,124.5289853413895,1,15,12,0.0
2018-01-12 16:00:00,2.31595667203267,109.136882781982,1,16,12,0.0
2018-01-12 17:00:00,2.0954480171203564,105.10479609171506,1,17,12,0.0
2018-01-12 18:00:00,2.473534703254693,105.72232437133744,1,18,12,0.0
2018-01-12 19:00:00,1.8242286841074569,130.165696461995,1,19,12,0.0
2018-01-12 20:00:00,1.303456773360565,127.87944793701126,1,20,12,0.0
2018-01-12 21:00:00,1.0845875640710174,162.3524932861323,1,21,12,0.0
