dt,WS,TAP,WD,Month,H,target
2018-11-19 09:00:00,15.944320042928014,21600.0,182.24886830647733,11,9,21590.91625976561
2018-11-19 10:00:00,13.898661772410016,21593.76272438726,181.93740081787064,11,10,21455.53686523436
2018-11-19 11:00:00,12.468191623687682,20898.715227993187,191.77496592203727,11,11,20335.32885742186
2018-11-19 12:00:00,8.76124016443888,11991.649981262,190.41550445556584,11,12,11500.79992675779
2018-11-19 13:00:00,8.898870309193915,12826.029601286526,194.4637629191075,11,13,12690.926757812484
2018-11-19 14:00:00,8.305286804834989,10948.270896299824,207.2812347412105,11,14,10366.53500366209
2018-11-19 15:00:00,8.355704704920447,10575.04009830764,202.49738057454385,11,15,10709.641113281228
2018-11-19 16:00:00,6.295936346054074,5075.431547353244,223.06545003255167,11,16,5070.798706054681
2018-11-19 17:00:00,9.13512007395426,13398.6748600509,217.83164723714148,11,17,13218.6690673828
2018-11-19 18:00:00,13.214006900787323,19366.99360863922,215.44833119710253,11,18,18827.90014648436
2018-11-19 19:00:00,9.985514640808082,15898.713760605562,244.52051798502552,11,19,15006.70202636717
2018-11-19 20:00:00,6.195798556009923,5004.145244706018,248.63572947184184,11,20,4865.492935180662
2018-11-19 21:00:00,6.05355056126912,4127.57050118307,243.9600346883132,11,21,3969.811996459959
2018-11-19 22:00:00,6.022203922271724,3881.053551101415,237.1821848551428,11,22,3676.03048706054
2018-11-19 23:00:00,7.181320428848262,6746.071751327438,224.38926696777284,11,23,6342.007690429668
2018-11-20 00:00:00,6.144430875778195,4075.918390245258,217.7033487955723,11,0,3618.303253173825
2018-11-20 01:00:00,5.132492661476133,2299.675814811334,230.52516682942667,11,1,2028.658905029293
2018-11-20 02:00:00,5.638066768646234,3132.3018019383985,227.0694656372067,11,2,2721.714080810545
2018-11-20 03:00:00,4.791906793912244,1872.5024913213408,226.9967651367184,11,3,1660.8464202880846
2018-11-20 04:00:00,5.42693487803141,2724.200522662428,214.02845001220683,11,4,2332.756561279295
2018-11-20 05:00:00,6.107648372650142,4006.732037487816,199.64341735839767,11,5,3433.49182128906
2018-11-20 06:00:00,6.938362439473468,5950.595298042493,200.8024698893223,11,6,5402.511840820311
2018-11-20 07:00:00,7.290428956349687,6939.985597330381,188.8107655843093,11,7,6986.241516113266
2018-11-20 08:00:00,6.945544083913164,6002.126020866222,196.98001607259084,11,8,6127.421752929681
2018-11-20 09:00:00,6.228088061014806,4344.281696113852,202.47470092773383,11,9,4416.294433593747
2018-11-20 10:00:00,6.741801818211866,5471.970759391793,207.25086720784464,11,10,5180.069580078122
2018-11-20 11:00:00,6.599116166432695,5135.056210330878,202.421150207519,11,11,5032.696166992184
2018-11-20 12:00:00,7.168002684911088,6649.551199488026,201.4024175008133,11,12,6503.521606445299
2018-11-20 13:00:00,8.227481126785275,10099.541667228728,199.82598368326785,11,13,9223.03839111326
2018-11-20 14:00:00,11.50237003962195,20440.833954031023,199.78440093994104,11,14,18426.82617187499
2018-11-20 15:00:00,11.064236958821564,19715.56685812393,202.30128479003864,11,15,16694.83422851561
2018-11-20 16:00:00,10.066748778025255,16982.41831934634,197.2533009847002,11,16,13769.89990234374
2018-11-20 17:00:00,9.713613669077551,15549.22125047991,203.7227834065752,11,17,12780.4219970703
2018-11-20 18:00:00,10.41682465871172,18001.318175591397,201.6744664510085,11,18,14726.704101562487
2018-11-20 19:00:00,10.530291080474813,18408.94308600709,197.9832483927405,11,19,15030.03271484374
2018-11-20 20:00:00,10.519071102142313,18164.55479637211,200.9675343831373,11,20,15145.30834960937
2018-11-20 21:00:00,10.09604088465368,17013.68918581784,199.43334706624285,11,21,13663.02587890623
2018-11-20 22:00:00,10.351307074228904,17792.42897993392,199.6949183146155,11,22,15000.76635742186
2018-11-20 23:00:00,10.949723402659052,19464.1216699046,191.5109659830725,11,23,16097.05908203124
2018-11-21 00:00:00,9.37697950998941,14317.98551902214,193.04204813639285,11,0,11812.19213867186
2018-11-21 01:00:00,8.956838289896643,12714.80192102981,197.33845011393169,11,1,10170.80688476561
2018-11-21 02:00:00,8.357212464014681,10598.038954857771,194.73033142089807,11,2,8060.146606445296
2018-11-21 03:00:00,7.316788037617997,7100.748694580398,190.9654362996415,11,3,5714.575988769512
2018-11-21 04:00:00,6.0787684122721295,3961.744253731988,192.6415023803705,11,4,3024.964324951171
2018-11-21 05:00:00,7.353504260381058,7178.080242598962,158.747197469075,11,5,5969.7785644531095
2018-11-21 06:00:00,7.428317864735917,7370.56919190985,147.656331380208,11,6,6091.508422851551
2018-11-21 07:00:00,6.051033814748124,3902.7949012926383,147.381833394368,11,7,3258.505249023434
2018-11-21 08:00:00,3.6100761493047018,659.9327043509836,162.12701670328732,11,8,490.40723448991633
2018-11-21 09:00:00,4.722616712252293,1834.9243510250767,218.5746154785152,11,9,1549.2424011230446
2018-11-21 10:00:00,4.707056283950799,2086.572403359548,213.1114654541012,11,10,498.54699754714864
2018-11-21 11:00:00,6.164492607116692,4567.375540037827,203.434816996256,11,11,3880.931503295897
2018-11-21 12:00:00,6.228293180465694,4272.621875094217,196.13483428955016,11,12,3502.696990966794
2018-11-21 13:00:00,6.241375048955277,4486.179538747609,166.36419932047482,11,13,3475.890014648434
2018-11-21 14:00:00,6.776224215825395,5576.870480585506,174.62873331705683,11,14,5039.794311523428
2018-11-21 15:00:00,7.459484895070389,7662.733883757248,202.64578501383417,11,15,7188.150390624989
2018-11-21 16:00:00,7.436506112416579,7496.668547820243,220.42083485921148,11,16,6388.836853027336
2018-11-21 17:00:00,6.3928849697113,4630.589340511368,241.60774993896453,11,17,3723.154998779294
2018-11-21 18:00:00,5.957037687301631,3667.69000802244,226.20371500651,11,18,2733.863372802732
2018-11-21 19:00:00,5.993433713912959,3781.038745078175,205.27188364664667,11,19,3008.538574218748
2018-11-21 20:00:00,6.92328365643819,5919.5417629692665,201.25564829508417,11,20,5026.065368652339
2018-11-21 21:00:00,6.416130224863686,4708.2572218855885,201.07999928792285,11,21,3905.637878417966
2018-11-21 22:00:00,6.475612481435133,4783.318804231575,208.33839925130164,11,22,4068.809997558591
2018-11-21 23:00:00,6.136069297790521,4043.786549725445,222.15488179524684,11,23,3520.441162109373
2018-11-22 00:00:00,5.845828215281163,3453.740142881306,226.9531148274735,11,0,2883.0563964843723
2018-11-22 01:00:00,4.701614697774247,1682.5502840243712,243.75727081298768,11,1,1303.6742401123024
2018-11-22 02:00:00,3.670936028162636,572.4771873551006,233.3104019165036,11,2,412.1330879330632
2018-11-22 08:00:00,3.8653586705525687,816.9193090144242,25.989821751912384,11,8,15.3534603118896
2018-11-22 09:00:00,5.457797447840367,3022.2562129403377,39.18983586629225,11,9,2960.52735519409
2018-11-22 10:00:00,5.920928955078122,3620.571639312381,37.77629725138342,11,10,3579.111602783201
