dt,WS,WD,Month,H,dayofyear,target
2018-06-17 09:00:00,2.3318686485290465,236.28247944513942,6,9,168,0.0
2018-06-17 10:00:00,3.83947865168253,283.9442178408301,6,10,168,91.71513954798355
2018-06-17 11:00:00,3.8595506350199336,81.97161277135196,6,11,168,41.145816802978494
2018-06-17 12:00:00,1.8240368962287867,105.36205832163476,6,12,168,0.0
2018-06-17 13:00:00,1.5488061706225034,268.8983968098953,6,13,168,0.0
2018-06-17 14:00:00,2.108985165754948,324.302124023437,6,14,168,0.0
2018-06-17 15:00:00,1.9702644944190935,322.4045003255205,6,15,168,0.0
2018-06-17 16:00:00,3.2731512387593553,339.52973429361947,6,16,168,24.06754493713377
2018-06-17 17:00:00,3.42485650380452,352.82413736979123,6,17,168,31.062090436617527
2018-06-17 18:00:00,3.0898461739222167,20.840041478474866,6,18,168,1.8176533381144167
2018-06-17 19:00:00,2.9642784992853737,343.8083496093745,6,19,168,1.167269349098205
2018-06-17 20:00:00,2.7123376925786267,323.24951680501266,6,20,168,0.0
2018-06-17 21:00:00,2.7124377091725616,336.1681772867833,6,21,168,0.0
2018-06-17 22:00:00,1.829031010468795,339.6426340738927,6,22,168,0.0
2018-06-17 23:00:00,2.673639337221775,335.4580179850255,6,23,168,0.0
2018-06-18 00:00:00,2.7668060064315747,349.918299357096,6,0,169,0.0
2018-06-18 01:00:00,2.9024821917215937,237.4112002650894,6,1,169,0.0
2018-06-18 02:00:00,1.5795391798019367,317.72603352864536,6,2,169,0.0
2018-06-18 03:00:00,1.7073346773783316,317.344299316406,6,3,169,0.0
2018-06-18 04:00:00,1.40630149841308,323.839986165364,6,4,169,0.0
2018-06-18 05:00:00,1.7972483038902218,308.25080362955697,6,5,169,0.0
2018-06-18 06:00:00,2.576206962267555,298.40600077311166,6,6,169,0.0
2018-06-18 07:00:00,2.307490507761632,314.9904123942052,6,7,169,0.0
2018-06-18 08:00:00,2.082940161228175,313.909296671549,6,8,169,0.0
2018-06-18 09:00:00,2.692425529162083,336.85636901855435,6,9,169,0.0
2018-06-18 10:00:00,2.686613241831458,289.0185969670609,6,10,169,0.0
2018-06-18 11:00:00,3.134395082791638,282.44782292842825,6,11,169,15.531813939412416
2018-06-18 12:00:00,3.891879995663954,331.0176239013667,6,12,169,98.65062586466443
2018-06-18 13:00:00,3.8749382893244384,70.39087645212794,6,13,169,97.82564091682407
2018-06-18 14:00:00,5.397251288096105,10.903230349222786,6,14,169,368.62143452962204
2018-06-18 15:00:00,5.165270090103147,64.41786130269362,6,15,169,311.8877182006832
2018-06-18 16:00:00,4.6279034614562935,62.687835752963984,6,16,169,194.21365483601858
2018-06-18 17:00:00,6.049242575963334,182.20020826657586,6,17,169,528.0911254882809
2018-06-18 18:00:00,5.749370813369745,8.239571213722211,6,18,169,442.218109130859
